X1TXMTSCOR,X1MTHEFF,X1SCIEFF,X1SCHOOLBEL,X1SCHOOLCLI,S1M8GRADE,S1S8GRADE,X1PAREDU,X1PAREDEXPCT,S1EDUEXPECT,S1SUREHSGRAD,S1PAYOFF,S1GETINTOCLG,S1AFFORD,S1WORKING,X1PAR_SURVEY_MISSING,X1_DUAL_PARENT,X1POVERTY,MATH_NO_CLASS,SCI_NO_CLASS,S1FYFAMILY,S1FYMILITARY,X1CONTROL,X4EVERDROP
46.7809,-2.04,0.38,-0.04,-0.22,4,5,2,6,6,1,3,3,3,3,0,0,0,0,0,0.0,0.0,1.0,1.0
60.7838,0.07527073240239386,0.06604246807201108,-0.04,-1.43,1,1,4,8,9,2,4,4,4,3,0,1,0,1,1,0.0,0.0,1.0,0.0
47.3269,0.07527073240239386,0.06604246807201108,0.77,-0.41,1,1,3,6,10,1,4,3,3,4,0,1,0,1,1,0.0,0.0,1.0,0.0
40.5263,0.1,-0.17,-0.34,-2.17,3,3,4,2,10,1,4,4,3,4,0,0,0,0,0,0.0,0.0,1.0,0.0
56.2965,1.62,-1.33,-0.59,-1.42,2,3,2,4,6,1,3,3,3,3,0,1,0,0,0,0.0,1.0,1.0,1.0
49.4672,0.1,0.25,-0.39,-1.48,3,2,2,6,10,1,2,3,3,2,0,1,0,0,0,0.0,0.0,1.0,0.0
69.6107,0.1,0.69,-0.04,0.25,1,1,4,10,8,1,3,4,4,3,0,1,0,0,0,0.0,0.0,1.0,0.0
58.7944,0.82,0.25,0.2,-0.07,1,1,2,8,6,1,3,4,4,4,0,1,0,0,0,0.0,1.0,1.0,1.0
64.4815,0.95,0.25,1.59,0.36,1,2,2,10,9,1,4,4,4,4,0,1,0,0,0,0.0,0.0,2.0,0.0
48.4579,-0.73,0.06604246807201108,-0.37,-0.3590853994490358,2,1,7,10,8,1,3,4,3,4,0,1,0,0,1,0.0,0.0,1.0,0.0
53.5701,0.1,0.25,0.21,-0.98,1,1,5,6,10,1,4,4,4,4,0,1,0,0,0,0.0,0.0,1.0,0.0
43.6691,0.07527073240239386,0.06604246807201108,-0.39,0.56,3,2,2,4,4,2,3,3,3,3,0,1,0,1,1,0.0,0.0,2.0,0.0
51.5413,0.07527073240239386,0.06604246807201108,-0.39,-0.3590853994490358,2,2,3,6,6,1,3,4,3,3,0,1,0,1,1,0.0,0.0,1.0,0.0
48.8718,0.1,1.53,0.53,0.1,1,2,2,6,4,1,2,2,1,3,0,0,0,0,0,0.0,1.0,1.0,0.0
54.2935,0.51,0.25,-0.39,-0.3590853994490358,1,2,1,10,2,2,3,3,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
68.3935,-0.69,0.25,0.16,0.4,1,1,3,7,8,1,3,3,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
50.4159,0.1,0.25,1.0,-0.44,1,1,7,10,10,1,4,4,3,3,0,1,0,0,0,1.0,0.0,1.0,0.0
61.0067,1.34,1.83,1.59,-0.3590853994490358,1,1,4,10,8,1,4,4,4,4,0,1,0,0,0,0.0,0.0,1.0,0.0
51.0248,-0.56,0.67,0.1,-2.09,2,1,3,8,6,2,4,3,1,3,1,1,0,0,0,0.0,0.0,1.0,0.0
43.5267,0.38,-0.17,1.23,0.72,3,2,4,6,4,1,3,3,3,1,0,1,0,0,0,0.0,0.0,2.0,0.0
51.9807,0.1,0.25,-0.34,-0.06,2,2,4,10,8,1,1,4,2,4,0,1,0,0,0,0.0,0.0,1.0,1.0
63.0721,0.07527073240239386,1.83,1.59,-1.47,1,1,4,10,10,1,1,4,4,4,0,1,0,1,0,0.0,0.0,1.0,0.0
